,main_cate,sub_cate,title
194,news,,"전략 카드 게임 ‘레전드 오브 룬테라’, 24일 OBT 시작  "
195,news,인터뷰," 크로노 아크 ""수십 시간 해도 재밌는 로그라이크의 매력 보여주고파"""
196,news,,AR모드가 추가된 '마키나이츠' 모바일 버전 사전예약 시작 
197,news,,"최종 4인 본선 통과! 하스스톤 인벤 컵, 새해 첫 우승자는 18일에 결정  "
198,news,취재," ""불편 사항 최대한 개선하겠다"" 로스트아크 루테란 신년 감사제 QnA  "
199,news,취재, 시즌2 '꿈꾸지 않는 자들의 낙원' 로스트아크 업데이트 로드맵 발표 [
200,news,,신규 콘텐츠 인연 스킬 공개! 마비노기영웅전 10주년 기념 파티  
201,news,종합," 주인공, 시스템, 장르까지 바꿨다! '용과같이7' 출시 이벤트  "
202,news,,"한국 유저들과의 첫 만남, '프린세스 커넥트! Re:Dive' 유저 간담회  "
203,news,기획, 원작을 알면 업데이트가 보인다? 아키에이지&달빛조각사 업데이트 미리보기 
204,news,인터뷰," 느조스의 환영까지 일주일! 이언 해지코스타스, ""정수 계정 공유는 어려워""  ["
205,news,,"대형 게임사부터 인디까지 선택한 유니티, 2020년 기대작은? "
206,news,,"리그 오브 레전드, 2020시즌 개막 및 148번째 신규 챔피언 '세트' 공개  "
207,news,정보, 탐험가 연맹과 악의 연합 이야기의 끝! 신규 모험 모드 갈라크론드의 부활 공개  
208,news,할인&무료," 에픽 무료는 선더드, 험블은 대규모 겨울 할인 시작! 1월 10일 할인 정보 "
209,news,Tech, 전 세계 어디서나 초고속 인터넷을! '스타링크 프로젝트' 3번째 위성 발사  
210,news,인터뷰," 존 켈리 CES 아시아 디렉터, ""게임은 다른 분야에도 영감을 주는 "
211,news,뉴스, 네파리안 기다려라! 와우 클래식 '검은날개 둥지' 2월 13일 업데이트 예고  
212,news,,"다 들어간 완전판! '슈퍼로봇대전X' 스팀, 스위치로 10일 출시 "
213,news,,"게임이용장애 등재, ""산업 피해액 5조 원에 5만 명 일자리 잃어"" "
214,news,,"결선행 티켓 4장의 행방은? 하스스톤 인벤 컵, 1월 10일 온라인 본선 시작! "
215,news,,"국가별로 연합을 펼치는 전략 RPG '삼국지난무', 14일 CBT 시작 "
216,news,,"신비로운 CES 이야기, ""미래 궁금하세요? 지금 보여드릴게요"" "
217,news,기획," ""올해는 언제 열리나요?"" 2020 국내외 게임쇼"
218,news,,큐브 이스케이프 스핀오프 신작 '더 화이트 도어' 출시 
219,news,,포켓몬 소드&실드 DLC 공개! 신 지역 추가하고 기존 포켓몬 부활한다  
220,news,영상, 아크시스템웍스의 주인공들 총출동! '코드 시프터' 
221,news,풍경기," 게이밍 기어부터 각국 스타트업이 모였다, CES 테크 웨스트 "
222,news,칼럼," '기생충' 같은 게임, 한국에서는 정말 안 될까 "
223,news,,‘던전앤파이터’ 최고레벨 확장 및 ‘진각성’ 업데이트  
224,news,,"""리니지2M 공성전, 가을이 오기 전에 즐길 수 있다"" "
225,news,리뷰, 매콤한 한국식 공포 맛 좀 볼래? '아라하: 이은도의 저주' 
226,news,,"구글, ‘제5회 구글플레이 인디 게임 페스티벌’ 4월 25일 개최 "
227,news,,"게임스컴 2020, 8월 25일 개최…참가사 모집"
228,news,영상," TRPG 한 판 하기 좋은 날이군, 보드게임용 콘솔 '스퀘"
229,news,,"'위쳐', 제대로 알고 보자! 넷플릭스 공식 타임라인 공개  "
230,news,시연기, 원투훅! 어 샌드백이 이걸 피한다고? '봇 복서' 
231,news,기획, 2020년의 행복한 게임라이프를 책임질 12가지 게임 
232,news,풍경기," 5G, 8K, AI 등 최신 기술부터 골때리는 체험까지, CES 테크 이스트 "
233,news,인터뷰," 오랜만에 등장한 국산 공포게임, '아라하: 이은도의 저주'  "
234,news,,'진 삼국무쌍 언리쉬드' 3월 26일 서비스 종료 
235,news,체험기," 부담없이 빠져드는 로그라이크, '크로노 아크'  "
236,news,,"극지방으로 떠나는 힐링게임, '어비스리움 폴' 8일 정식 출시 "
237,news,,"엔씨소프트 1주 60만 원 돌파, 연일 신고가 기록  "
238,news,,"모바일 디펜스 RPG '명일방주', 16일 정식 출시 "
239,news,시연기," 야 잠깐 뼈...아니 총 맞았어, 통증이 느껴지는 VR '비햅틱스'  "
240,news,영상," 다운 안 받고 바로 한다, ‘검은사막 모바일’ 스트리밍  "
241,news,,요스타 국내 첫 진출작 '명일방주' 1월 16일 정식 출시 
242,news,기획," 레노버의 게임 DNA '리전', 리전 오브 챔피언스로 게이머를 사로잡다"
243,news,,"연필로 직접 그린 그래픽, '데빌북' 17일부터 CBT  "
244,news,기자수첩," 배틀로얄과 대전 격투, '섀도우 아레나'에 대한 고찰 "
245,news,단독," 텐센트가 투자한 VSPN, 서울에 e스포츠 경기장 만든다  "
246,news,영상, 이 레고에서 모뉴먼트 밸리의 온기가 느껴진다 
247,news,,"네시삼십삼분, '데카론M' 올해 내로 선보인다  "
248,news,,"텐센트, '베요네타' 개발사 플래티넘 게임즈에 투자  "
249,news,,"LG가 말하는 AI 발전의 4단계, 그리고 차세대 기술의 트렌드는? "
250,news,풍경기, 본행사에는 더 기발한 게 나온다고요? 미리보는 CES '언베일' 
251,news,,"파이널판타지 15, 모바일 MMORPG로 개발  "
252,news,Tech," 에이수스, 세계에서 가장 빠른 ROG Swift 360Hz 모니터 CES에서 공개  "
253,news,,"""장인정신과 열정, 끊임없는 도전의 의미"" 엔씨 신규 CI 공개  "
254,news,,8K 정식 지원? 필 스펜서 Xbox 시리즈 X 칩셋 공개 
255,news,,"경기게임아카데미 ""창업의 모판이 되어 드립니다"" "
256,news,,"소니, CES 2020서 'PS5' 로고 공개  "
257,news,인터뷰," 클로버게임즈의 출사표 ""'로드 오브 히어로즈', 목표는 모두가 좋아할 RPG"" "
258,news,,헤일로부터 오리까지! 2020년 Xbox 주요 기대작 15선 발표 
259,news,,에일리언웨어에서 휴대용 게임기를 만들면? 
260,news,,대법원까지 간 '서든어택' 과징금 취소 소송... 결과는?  
261,news,,GM이 다중 계정으로 여론 조작? '창유코리아'에 묻다 
262,news,,감성 충전형 모바일 RPG '캐러밴 스토리' 사전예약  
263,news,기획, 교육도 치료도 '게임'으로... 올해 전망은?
264,news,시연기," 앗 뜨거! 앗 차거! ""무슨 VR 게임이 이래요?"" "
265,news,순위분석, 2020년 새해 첫 순위 상승의 기쁨을 누린 게임은? 
266,news,,"올해도 게임은 수출효자, ""콘텐츠 수출액 중 70% 차지""  "
267,news,,"쫄깃한 긴장감 UP! 섀도우 아레나, 30인 스트리머 대전 "
268,news,,"CES, ""올해 IT 산업 트렌드? 융합과 디테일"""
269,news,,"삼국지14 한글판, 8일부터 예약 판매  "
270,news,할인&무료, 영화 보기 전에 스타워즈 오더의 몰락을! 1월 6일 할인 정보
271,news,,"펄어비스, ‘CES 2020’에서 검은사막 모바일 스트리밍 시연 "
272,news,,"한빛소프트, ""올해 중 그라나도 에스파다 모바일 출시""  "
273,news,게임백서2019 ④, 전세계 게임 시장 동향
274,news,게임백서2019 ③," 2018년 대한민국 게임산업, 8.7% 성장한 14조 3천억 원 달성"
275,news,,"16강 확정! 하스스톤 인벤 컵, 1월 10일부터 온라인 본선 돌입!  "
276,news,인터뷰," 로보토미 개발팀의 신작, '라이브러리 오브 루이나' 이야기 "
277,news,리뷰," 클래스는 영원하다, 스위치로 돌아온 게임패드의 전설  "
278,news,,"정부, e스포츠 표준계약서 연구 돌입... 3분기 이후 도입 예상 "
279,news,게임백서2019 ②," PC와 콘솔 게임 이용률 증가, 게임 인식도 개선됐을까? "
280,news,게임백서2019 ①," 1,000억 원대 규모로 진입한 대한민국 e스포츠 산업"
281,news,,"정부, 구글과 협업한 게임 스타트업 지원 '창구' 프로그램 확대 "
282,news,,"이정헌 대표 ""넥슨의 2020년, '초격차'를 준비하자""  "
283,news,,"웹젠, 신작 웹게임 ‘뮤 이그니션 2’ 티저 사이트 열고 국내 서비스 준비  "
284,news,,"카드게임으로 즐기는 '엘더스크롤:레전드', 아시아 서버 사전예약 진행 중 "
285,news,,"슈퍼데이터 ""2020년 모바일 게임 시장 77조 원 규모 예상"" "
286,news,게임&컬쳐," 드라마 봤으면 게임도 해야지, '위쳐3'에 10만 명 몰렸다  "
